Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin,Cluster
Robert Diller (0000142017),239004,WILLOW VALLEY MED LKS MNR FLR#,239004,WILLOW VALLEY MED LKS MNR FLR#,Willow Street,300 Willow Valley Lakes Dr,PA,17584,"300 Willow Valley Lakes Dr Willow Street, PA 17584",1430025,39.985285,-76.271686,J,Tuesday/Friday,23,41,1.782608696,4.086956522,675.3456522,15532.95,165.5156522,3806.86,263.0,0.245082872,15
Robert Diller (0000142017),239133,AGGREGATES EQUIPMENT#,239133,AGGREGATES EQUIPMENT#,Leola,9 Horseshoe Rd,PA,17540,"9 Horseshoe Rd Leola, PA 17540",1430024,40.086306,-76.18295,J,Monday/Thursday,6,7,1.166666667,1.666666667,310.2233333,1861.34,114.12,684.72,22.0,0.367864012,36
Pete Annick (0000142010),239139,AKRON GRACE EC CHURCH,239139,AKRON GRACE EC CHURCH,AKRON,101 N 7th St,PA,17501,"101 N 7th St AKRON, PA 17501",1430026,40.158999,-76.203178,K,Monday,7,7,1.0,5.0,509.6857143,3567.8,217.7414286,1524.19,85.0,0.427207243,8
Matthew Morris (0000142013),239188,ANTIETAM SCHOOL DISTRICT,239188,ANTIETAM SCHOOL DISTRICT,Reading,201 N 25TH ST,PA,19606,"201 N 25TH ST Reading, PA 19606",1430029,40.330478,-75.886664,K,Monday/Thursday,17,27,1.588235294,4.294117647,1762.868235,29968.76,670.4747059,11398.07,542.0,0.380331719,22
Brad Miller (0000142022),239198,ARCHETYPE,239198,ARCHETYPE,Lancaster,317 N Market St,PA,17603,"317 N Market St Lancaster, PA 17603",1430025,40.043203,-76.307557,J,Tuesday/Friday,6,7,1.166666667,2.5,199.1083333,1194.65,74.25666667,445.54,25.0,0.372946051,0
Andrew Clippinger (0000142012),239230,AUTOHAUS LANC INC,239230,AUTOHAUS LANC INC,Lancaster,1373 Manheim Pike,PA,17601,"1373 Manheim Pike Lancaster, PA 17601",1430025,40.069428,-76.330019,J,Tuesday/Friday,10,11,1.1,3.1,397.941,3979.41,166.908,1669.08,51.0,0.419429011,24
Pete Annick (0000142010),239318,BIRD IN HAND FAMILY INN#,239318,BIRD IN HAND FAMILY INN#,Bird in Hand,2740 OLD PHILADELPHIA PIKE,PA,17505,"2740 OLD PHILADELPHIA PIKE Bird in Hand, PA 17505",1430021,40.03818,-76.17513,J,Monday,7,8,1.142857143,4.428571429,511.2157143,3578.51,198.6071429,1390.25,102.0,0.388499683,8
Brian Deiling (0000142018),239337,BLUE MOUNTAIN SCHOOL DISTRICT#,239337,BLUE MOUNTAIN SCHOOL DISTRICT#,Orwigsburg,685 Red Dale Rd,PA,17961,"685 Red Dale Rd Orwigsburg, PA 17961",1430023,40.656301,-76.086257,J,Wednesday,6,6,1.0,1.333333333,237.3133333,1423.88,99.18666667,595.12,20.0,0.417956569,0
Mike Schlitter (0000142011),239344,CC-BOMBERGERS STORE,239344,CC-BOMBERGERS STORE,Lititz,555 Furnace Hills Pike,PA,17543,"555 Furnace Hills Pike Lititz, PA 17543",1430024,40.170829,-76.307,J,Monday/Thursday,9,9,1.0,1.111111111,396.2644444,3566.38,124.3777778,1119.4,51.0,0.313875695,24
Lancaster Office (0000142002),239352,BOROUGH OF AKRON,239352,BOROUGH OF AKRON,AKRON,117 S 7th St,PA,17501,"117 S 7th St AKRON, PA 17501",1430021,40.154747,-76.205475,J,Monday,6,6,1.0,3.0,356.0716667,2136.43,125.7983333,754.79,43.0,0.353294983,24
Brad Miller (0000142022),239367,BOYD WILSON PROPERTY#,239367,BOYD WILSON PROPERTY#,Lancaster,600 Olde Hickory Rd Ste 100,PA,17601,"600 Olde Hickory Rd Ste 100 Lancaster, PA 17601",1430025,40.086521,-76.284153,J,Tuesday/Friday,10,11,1.1,2.4,206.862,2068.62,82.415,824.15,36.0,0.3984057,0
