Sold To ID,Sold To Customer,Ship To ID,Ship To Customer,Ship To Address,Ship To City,Ship To State,Ship To Zip,Full Address,Latitude,Longitude,Total Orders,Sold_To_AccountId_Alt,Ship_To_AccountId_Alt,Cluster
201100,ISD #6051 GOODHUE CO EDUCATIO,201100,ISD #6051 GOODHUE CO EDUCATIO,395 Guernsey Ln,Red Wing,MN,55066,"395 Guernsey Ln Red Wing MN, 55066",44.536762,-92.51705,4,201100,201100,16
201902,3M COMPANY NEW ULM,401715,3M COMPANY BLDG 01,1700 N Minnesota St,New Ulm,MN,56073,"1700 N Minnesota St New Ulm MN, 56073",44.330891,-94.47403,8,201902,401715,18
204224,MASON BROTHERS,458793,ABBYS BAKERY,421 4th St NE,Wadena,MN,56482,"421 4th St NE Wadena MN, 56482",46.447835,-95.139024,4,204224,458793,4
203218,ABOVE ALL CLEANING INC,203218,ABOVE ALL CLEANING INC,57027 222nd St,Austin,MN,55912,"57027 222nd St Austin MN, 55912",43.67492,-92.908205,24,203218,203218,1
272219,AITKIN HEALTH SERVICES,272219,AITKIN HEALTH SERVICES,301 Minnesota Ave S,Aitkin,MN,56431,"301 Minnesota Ave S Aitkin MN, 56431",46.52663,-93.70795,4,272219,272219,13
202577,ALOMERE HEALTH STOREROOM,466210,ALEX CLINIC STOREROOM,610 30th Ave W,Alexandria,MN,56308,"610 30th Ave W Alexandria MN, 56308",45.862346,-95.386214,14,202577,466210,3
302549,ALL SAINTS ACADEMY ST CLOUD,302549,ALL SAINTS ACADEMY ST CLOUD,1215 11th Ave N,Saint Cloud,MN,56303,"1215 11th Ave N Saint Cloud MN, 56303",45.569696,-94.175617,4,302549,302549,11
346629,All Saints Catholic School,346629,ALL SAINTS CATHOLIC SCHOOL,N8566 STATE RD 49,Berlin,WI,54923,"N8566 STATE RD 49 Berlin WI, 54923",43.9437,-88.94493,4,346629,346629,8
202577,ALOMERE HEALTH STOREROOM,202577,ALOMERE HEALTH STOREROOM,111 17th Ave E,Alexandria,MN,56308,"111 17th Ave E Alexandria MN, 56308",45.873845,-95.37609,16,202577,202577,3
201557,ANNANDALE CARE CENTER,201557,ANNANDALE CARE CENTER,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,6,201557,201557,11
201557,ANNANDALE CARE CENTER,484041,ANNANDALE CARE CENTER HOUSEKEE,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,11,201557,484041,11
201557,ANNANDALE CARE CENTER,484042,ANNANDALE CARE CENTER LAUNDRY,500 PARK ST E,Annandale,MN,55302,"500 PARK ST E Annandale MN, 55302",45.267237,-94.115179,4,201557,484042,11
263488,ANYTIME FITNESS,263488,ANYTIME FITNESS,301 30th Ave W,Alexandria,MN,56308,"301 30th Ave W Alexandria MN, 56308",45.863028,-95.380235,6,263488,263488,3
272853,ANYTIME FITNESS,272853,ANYTIME FITNESS,225 2nd Ave N,Sauk Rapids,MN,56379,"225 2nd Ave N Sauk Rapids MN, 56379",45.591806,-94.168311,7,272853,272853,11
282403,APPLE LANE COMM. CHILD CARE CE,282403,APPLE LANE COMM. CHILD CARE CE,1900 8th Ave NW,Austin,MN,55912,"1900 8th Ave NW Austin MN, 55912",43.676695,-93.002076,7,282403,282403,1
202610,APPLETON MUNICIPAL HOSPITAL,202610,APPLETON MUNICIPAL HOSPITAL,30 S Behl St,Appleton,MN,56208,"30 S Behl St Appleton MN, 56208",45.199757,-96.00862,15,202610,202610,17
209648,ARROWHEAD PROMOTIONS CO. INC,209648,ARROWHEAD PROMOTIONS CO. INC,1105 SE 8th St,Grand Rapids,MN,55744,"1105 SE 8th St Grand Rapids MN, 55744",47.223359,-93.511735,7,209648,209648,7
304478,ASHBY LIVING CENTER,304478,ASHBY LIVING CENTER,112 Iverson Ave,Ashby,MN,56309,"112 Iverson Ave Ashby MN, 56309",46.09065,-95.81496,7,304478,304478,3
200723,ASSEMBLY OF GOD CHURCH,200723,ASSEMBLY OF GOD CHURCH,3821 Abbott Dr,Willmar,MN,56201,"3821 Abbott Dr Willmar MN, 56201",45.08784,-95.040669,7,200723,200723,0
293020,AURORA PHARMACEUTICAL,293020,AURORA PHARMACEUTICAL,1196 Highway 3 S,Northfield,MN,55057,"1196 Highway 3 S Northfield MN, 55057",44.447551,-93.174501,6,293020,293020,16
200344,BARRETT CARE CENTER,200344,BARRETT CARE CENTER,800 Spruce Ave,BARRETT,MN,56311,"800 Spruce Ave BARRETT MN, 56311",45.906339,-95.888901,7,200344,200344,3
281322,BELGRADE NURSING HOME,281322,BELGRADE NURSING HOME,103 School St,Belgrade,MN,56312,"103 School St Belgrade MN, 56312",45.448901,-95.007352,4,281322,281322,0
