Sold To ID,Sold To Customer,Ship To ID,Ship To Customer,Ship To Address,Ship To City,Ship To State,Ship To Zip,Full Address,Latitude,Longitude,GP CY,GP PY TTD,GP Var,GP % Diff,Revenue CY,Revenue PY TTD,Revenue Var,Revenue % Diff,Total Orders,Avg. GP per Order,Cluster
290799,213 COURT STREET REALTY TRUST,290799,213 COURT STREET REALTY TRUST,213 Court St,Middletown,CT,6457,"213 Court St Middletown, CT 06457",41.55908,-72.650182,"$15,361","$6,027","$9,334",154.87%,"$55,521","$17,442","$38,079",218.32%,5,$937.98,0
295245,A CLEAR VIEW WINDOW CLN RESALE,295245,A CLEAR VIEW WINDOW CLN RESALE,37 BURNHAM ST,Enfield,CT,6082,"37 BURNHAM ST Enfield, CT 06082",41.942955,-72.57241,"$6,727","$7,099",($372),-5.25%,"$22,896","$20,648","$2,248",10.89%,9,$225.12,10
287838,ACCUTRON INC,287838,ACCUTRON INC,149 Addison Rd,Windsor,CT,6095,"149 Addison Rd Windsor, CT 06095",41.867201,-72.677407,$705,$344,$361,104.73%,"$2,029","$1,499",$530,35.39%,4,$67.70,0
287972,ADELBROOK HOME OF CROMWELL,444038,ADELBROOK,60 Hicksville Rd,Cromwell,CT,6416,"60 Hicksville Rd Cromwell, CT 06416",41.600599,-72.664329,"$10,268","$8,917","$1,352",15.16%,"$45,497","$40,289","$5,209",12.93%,4,$373.57,0
290623,PAC SERVICES,460021,AERO GEAR INC,1050 Day Hill Rd,Windsor,CT,6095,"1050 Day Hill Rd Windsor, CT 06095",41.881027,-72.703704,"$4,521","$3,275","$1,245",38.02%,"$15,642","$12,403","$3,239",26.12%,10,$161.14,0
290199,AF CLEANING SERVICES LLC,290199,AF CLEANING SERVICES LLC,60 Thomas St,West Hartford,CT,6119,"60 Thomas St West Hartford, CT 06119",41.754266,-72.724868,$619,$157,$462,293.10%,"$1,850",$488,"$1,362",278.82%,4,$73.58,0
294429,NYS ALBANY CITY SCHOOL,447367,ALBANY CITY SCHOOL-CENT. MTC.,33 Essex St,Albany,NY,12206,"33 Essex St Albany, NY 12206",42.67742,-73.77965,"$126,046","$128,935","($2,889)",-2.24%,"$365,576","$390,772","($25,196)",-6.45%,6,"$3,620.38",2
251177,SAU #81 HUDSON SCHOOL DISTRICT,464126,ALVIRNE HIGH SCHOOL,200 Derry Rd,Hudson,NH,3051,"200 Derry Rd Hudson, NH 03051",42.794016,-71.438355,"$5,956","$6,432",($476),-7.40%,"$22,509","$29,500","($6,991)",-23.70%,4,$439.43,18
343866,AMERICAN SCHOOL FOR THE DEAF C,343866,AMERICAN SCHOOL FOR THE DEAF C,139 N Main St,West Hartford,CT,6107,"139 N Main St West Hartford, CT 06107",41.771131,-72.746764,"$19,698","$4,491","$15,207",338.62%,"$74,167","$17,683","$56,484",319.42%,6,$422.70,0
251224,SAU #39 AMHERST SCHOOL DISTRIC,420952,AMHERST MIDDLE SCHOOL,14 Cross Rd,Amherst,NH,3031,"14 Cross Rd Amherst, NH 03031",42.82448,-71.576528,"$2,577","$1,386","$1,191",85.93%,"$7,216","$4,025","$3,191",79.27%,4,$77.42,1
287969,AMITY REGIONAL SCHOOL DISTR NO,443964,AMITY MIDDLE SCHOOL-BETHANY CA,190 Luke Hill Rd,Bethany,CT,6524,"190 Luke Hill Rd Bethany, CT 06524",41.417487,-73.005796,"$5,098","$3,028","$2,070",68.37%,"$14,991","$9,768","$5,223",53.47%,4,$398.24,16
287969,AMITY REGIONAL SCHOOL DISTR NO,454707,AMITY REGIONAL HIGH SCHOOL,25 Newton Rd,Woodbridge,CT,6525,"25 Newton Rd Woodbridge, CT 06525",41.35694,-73.00881,"$15,447","$13,527","$1,920",14.19%,"$50,582","$45,235","$5,348",11.82%,4,$890.31,16
317867,TOWN OF ARLINGTON,475065,ARLINGTON HIGH SCHOOL,869 Massachusetts Ave,Arlington,MA,2476,"869 Massachusetts Ave Arlington, MA 02476",42.417841,-71.162183,"$13,400","$11,593","$1,808",15.59%,"$41,829","$39,774","$2,055",5.17%,4,$207.08,3
288029,ASHFORD ELEMENTARY SCHOOL,288029,ASHFORD ELEMENTARY SCHOOL,440 Westford Rd,Ashford,CT,6278,"440 Westford Rd Ashford, CT 06278",41.892484,-72.169107,"$9,743","$9,752",($9),-0.09%,"$21,868","$24,509","($2,641)",-10.78%,6,"$1,004.50",19
288071,ASNUNTUCK COMMUNITY COLLEGE,288071,ASNUNTUCK COMMUNITY COLLEGE,170 Elm St,Enfield,CT,6082,"170 Elm St Enfield, CT 06082",41.998089,-72.57131,$462,$308,$154,49.92%,"$1,249",$842,$408,48.48%,4,$114.06,10
288334,ATHOL-ROYALSTON REG SCHOOL DIS,460348,ATHOL ELEMENTARY SCHOOL,1064 Pleasant St,Athol,MA,1331,"1064 Pleasant St Athol, MA 01331",42.575719,-72.211514,"$6,229",,"$6,229",,"$19,503",,"$19,503",,4,$738.91,22
250702,AUGUSTA CIVIC CENTER,250702,AUGUSTA CIVIC CENTER,76 Community Dr,Augusta,ME,4330,"76 Community Dr Augusta, ME 04330",44.342486,-69.798835,"$7,049","$2,803","$4,246",151.47%,"$22,310","$7,959","$14,351",180.32%,6,$343.22,13
254112,AUTO FAIR FORD,254112,AUTO FAIR FORD,1475 S Willow St,Manchester,NH,3103,"1475 S Willow St Manchester, NH 03103",42.955027,-71.439034,"$2,719","$2,474",$245,9.90%,"$9,795","$9,257",$539,5.82%,4,$141.21,1
254110,AUTO FAIR HONDA,420967,AUTO FAIR HONDA,200 Keller St,Manchester,NH,3103,"200 Keller St Manchester, NH 03103",42.950627,-71.440972,"$2,332","$2,566",($233),-9.09%,"$8,573","$9,396",($823),-8.76%,4,$214.42,1
254113,AUTO FAIR HYUNDAI,420968,AUTO FAIR HYUNDAI,1477 S Willow St,Manchester,NH,3103,"1477 S Willow St Manchester, NH 03103",42.955246,-71.437142,"$2,022","$1,568",$454,28.98%,"$6,506","$5,823",$683,11.73%,5,$105.11,1
298416,AUTO FAIR NISSAN OF STRATHAM,450132,AUTO FAIR NISSAN OF STRATHAM,45 Portsmouth Ave,Stratham,NH,3885,"45 Portsmouth Ave Stratham, NH 03885",43.003579,-70.921187,"$1,851","$1,602",$250,15.59%,"$6,021","$5,398",$622,11.53%,4,$183.40,15
310216,AUTOFAIR SUBARU,464000,AUTO FAIR SUBARU ATT SERVICE D,503 Broadway,Haverhill,MA,1832,"503 Broadway Haverhill, MA 01832",42.784849,-71.118761,"$1,679","$1,211",$468,38.68%,"$5,565","$4,424","$1,142",25.81%,4,$173.55,18
345302,AVON BOARD OF EDUCATION - CREC,483004,AVON HIGH SCHOOL - CREC,510 W Avon Rd,Avon,CT,6001,"510 W Avon Rd Avon, CT 06001",41.783462,-72.861995,"$12,683",,"$12,683",,"$46,876",,"$46,876",,6,$469.03,23
288353,BOSTON PUBLIC SCHOOLS,449811,BALDWIN EARLY LEARNING PILOT A,121 Corey Rd,Brighton,MA,2135,"121 Corey Rd Brighton, MA 02135",42.34201,-71.140534,"$1,049",$851,$198,23.25%,"$4,266","$3,893",$372,9.56%,5,$95.07,3
269730,NYS BALLSTON SPA CENTRAL SCHOO,471785,BALLSTON SPA CENTRAL SCHOOL,480 Garrett Rd,Ballston Spa,NY,12020,"480 Garrett Rd Ballston Spa, NY 12020",42.99361,-73.85856,"$31,009","$33,029","($2,020)",-6.12%,"$131,865","$136,822","($4,957)",-3.62%,6,"$1,764.07",2
286926,BANCROFT SCHOOL,286926,BANCROFT SCHOOL,110 Shore Dr,Worcester,MA,1605,"110 Shore Dr Worcester, MA 01605",42.30482,-71.81483,"$6,575","$8,079","($1,504)",-18.61%,"$19,869","$24,129","($4,260)",-17.66%,5,$670.88,17
251379,SALEM SCHOOL DISTRICT SAU 57,420975,BARRON SCHOOL,55 Butler St,Salem,NH,3079,"55 Butler St Salem, NH 03079",42.765173,-71.18973,"$4,087","$1,652","$2,435",147.38%,"$12,693","$4,222","$8,471",200.66%,7,$255.11,18
