Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin,Cluster,Review
423575,Cumberland Regional High Schoo,Bridgeton,90 Silver Lake Rd,NJ,8302,"90 Silver Lake Rd Bridgeton, NJ 08302",1430010,39.475067,-75.220706,E,Thursday,8,11,1.375,1.875,744.73875,5957.91,207.02375,1656.19,88,0.277981708,1,x
472748,Peachtree Health Group LLC,Harbeson,26900 Lewes Georgetown Hwy,DE,19951,"26900 Lewes Georgetown Hwy Harbeson, DE 19951",1430008,38.726697,-75.269325,D,Wednesday,36,50,1.388888889,10.52777778,1392.049722,50113.79,486.9388889,17529.8,1253,0.349799925,3,x
306637,Biospectra Inc,Bangor,100 Majestic Way,PA,18013,"100 Majestic Way Bangor, PA 18013",1430015,40.855868,-75.20077,E,Tuesday/Friday,10,12,1.2,1.8,654.619,6546.19,215.615,2156.15,62,0.329374797,5,x
480252,BioSpectra,Bangor,100 Majestic Way,PA,18013,"100 Majestic Way Bangor, PA 18013",1430015,40.855868,-75.20077,E,Tuesday/Friday,8,8,1,2.625,671.53625,5372.29,244.54375,1956.35,59,0.364155695,5,x
243143,Cherry Hill Fire Department,Cherry Hill,1100 Marlkress Rd,NJ,8003,"1100 Marlkress Rd Cherry Hill, NJ 08003",1430011,39.904859,-74.976892,A,Thursday,7,7,1,1.285714286,1094.46,7661.22,374.47,2621.29,139,0.342150467,6,x
244072,North Eastern Hardwood Floors,West Berlin,447 Commerce Ln Ste A,NJ,8091,"447 Commerce Ln Ste A West Berlin, NJ 08091",1430011,39.810554,-74.923127,A,Thursday,25,31,1.24,1.84,10915.7496,272893.74,2372.9892,59324.73,1122,0.217391319,6,x
244176,Springfield Township Board of,Jobstown,2146 Jacksonville Jobstown Rd,NJ,8041,"2146 Jacksonville Jobstown Rd Jobstown, NJ 08041",1430017,40.03624,-74.70329,A,Monday,8,13,1.625,4,2121.87625,16975.01,510.42625,4083.41,355,0.240554203,6,x
244674,Medford Township Public School,Medford,137 Hartford Rd,NJ,8055,"137 Hartford Rd Medford, NJ 08055",1430011,39.905171,-74.84742,A,Thursday,7,7,1,2,148.8585714,1042.01,39.32428571,275.27,22,0.264172129,6,x
245453,New Hanover Township BOE,Wrightstown,122 Fort Dix St,NJ,8562,"122 Fort Dix St Wrightstown, NJ 08562",1430017,40.035014,-74.618956,A,Monday,12,16,1.333333333,2.916666667,1365.624167,16387.49,456.4583333,5477.5,107,0.334248869,6,x
246269,Shamong Township Public School,Shamong,295 Indian Mills Rd,NJ,8088,"295 Indian Mills Rd Shamong, NJ 08088",1430011,39.818153,-74.7653,A,Thursday,6,6,1,1,158.1266667,948.76,66.73333333,400.4,32,0.422024537,6,x
345928,Eastampton Township School Dis,Eastampton,1 Student Drive,NJ,8060,"1 Student Drive Eastampton, NJ 08060",1430017,39.999296,-74.755014,A,Monday,6,7,1.166666667,2.666666667,867.9266667,5207.56,308.8283333,1852.97,156,0.355823073,6,x
417471,Indian Mills Memorial School,Shamong,295 Indian Mills Rd,NJ,8088,"295 Indian Mills Rd Shamong, NJ 08088",1430011,39.818153,-74.7653,A,Thursday,16,20,1.25,2.1875,939.414375,15030.63,312.201875,4995.23,451,0.332336702,6,x
455119,Eastern High School,Voorhees,1401 Laurel Oak Rd,NJ,8043,"1401 Laurel Oak Rd Voorhees, NJ 08043",1430011,39.849523,-74.966871,A,Thursday,25,49,1.96,4.64,2726.7168,68167.92,888.8112,22220.28,1576,0.325963884,6,x
463491,Milton H Allen School,Medford,24 Allen Ave,NJ,8055,"24 Allen Ave Medford, NJ 08055",1430011,39.897833,-74.827474,A,Thursday,24,35,1.458333333,4.125,511.3854167,12273.25,170.7658333,4098.38,213,0.333927851,6,x
465027,Kirby's Mill Elementary School,Medford,151 Hartford Rd,NJ,8055,"151 Hartford Rd Medford, NJ 08055",1430011,39.904858,-74.849068,A,Thursday,19,22,1.157894737,5.473684211,628.6531579,11944.41,207.4415789,3941.39,215,0.329977789,6,x
465066,Cranberry Pine Elementary,Medford,400 Fairview Rd,NJ,8055,"400 Fairview Rd Medford, NJ 08055",1430011,39.854188,-74.84497,A,Thursday,23,34,1.47826087,4.434782609,624.6695652,14367.4,216.5795652,4981.33,275,0.346710609,6,x
465067,Taunton Forge,Medford,32 Evergreen Trl,NJ,8055,"32 Evergreen Trl Medford, NJ 08055",1430011,39.880584,-74.844005,A,Thursday,24,33,1.375,2.958333333,449.7220833,10793.33,154.86875,3716.85,222,0.344365455,6,x
424869,Bordentown Regional High Schoo,Bordentown,318 Ward Ave,NJ,8505,"318 Ward Ave Bordentown, NJ 08505",1430017,40.15438,-74.68693,A,Monday,10,15,1.5,2.2,1083.398,10833.98,382.04,3820.4,130,0.352631258,7,x
424965,Florence Twp. Memorial High Sc,Burlington,1050 Cedar Ln,NJ,8016,"1050 Cedar Ln Burlington, NJ 08016",1430017,40.092971,-74.793289,A,Monday,9,11,1.222222222,5.555555556,2844.407778,25599.67,982.9788889,8846.81,778,0.34558297,7,x
433841,Maintenance Bldg. - NHTS,Wrightstown,46 Schoolhouse Rd,NJ,8562,"46 Schoolhouse Rd Wrightstown, NJ 08562",1430017,40.073665,-74.5887,A,Monday,10,17,1.7,1.9,2899.595,28995.95,775.339,7753.39,691,0.267395619,7,x
432021,Riverfront School,Florence,500 E Front St,NJ,8518,"500 E Front St Florence, NJ 08518",1430017,40.119074,-74.79654,A,Monday,7,10,1.428571429,7.285714286,2993.752857,20956.27,1030.921429,7216.45,563,0.34435756,7,x
416689,Pleasant Valley High School,Brodheadsville,1671 Route 209,PA,18322,"1671 Route 209 Brodheadsville, PA 18322",1430014,40.922746,-75.403646,E,Tuesday,7,8,1.142857143,1.428571429,4947.811429,34634.68,1433.428571,10034,33,0.289709621,8,x
