Account Manager,Sold To ID,Sold To Name,Ship To ID,Ship To ID.1,Ship To City,Street Address,State,Ship To Zip Code,Full Address,Ship To Trans. Zone,Latitude,Longitude,Route Name,Day,Total Orders,Total Deliveries,Avg. Deliveries,Avg. Lines,Avg. Revenue,Total Revenue,Avg. GP,Total GP,Quantity,Margin
Matthew Morris (0000142013),239932,EAST PENN MFG CO INC#,239932,EAST PENN MFG CO INC#,Lyon Station,102 Deka Rd,PA,19536,"102 Deka Rd Lyon Station, PA 19536",1430041,40.475554,-75.762447,K,All,7,7,1,2,612.66,4288.62,174.7442857,1223.21,84,0.285222286
Matthew Morris (0000142013),239958,ELECTRO SPACE FABRICATORS,239958,ELECTRO SPACE FABRICATORS,Topton,300 W High St,PA,19562,"300 W High St Topton, PA 19562",1430026,40.505113,-75.707582,K,Monday,8,10,1.25,5,1510.71125,12085.69,508.57125,4068.57,184,0.336643584
Delaware Valley Office (0000143001),241276,NORTHEAST JANITORIAL SUPPLY LL,241276,NORTHEAST JANITORIAL SUPPLY LL,Allentown,847 N GILMORE ST,PA,18109,"847 N GILMORE ST Allentown, PA 18109",1430015,40.621959,-75.447389,E,Tuesday/Friday,8,9,1.125,1.25,92.42375,739.39,45.805,366.44,10,0.495597722
Leianne Krotec (0000143021),243100,Cathedral Village,243100,Cathedral Village,Philadelphia,600 E Cathedral Rd,PA,19128,"600 E Cathedral Rd Philadelphia, PA 19128",1430009,40.064837,-75.242803,E,Monday,17,22,1.294117647,2.941176471,1336.093529,22713.59,381.95,6493.15,344,0.285870706
Tom McKevitt (0000143010),243116,Centennial School District,243116,Centennial School District,Warminster,48 Swan Way,PA,18974,"48 Swan Way Warminster, PA 18974",1430004,40.201532,-75.078661,A,Friday,11,15,1.363636364,1.818181818,2065.151818,22716.67,718.3781818,7902.16,653,0.347857322
Chris Gifuni (0000143020),243143,Cherry Hill Fire Department,243143,Cherry Hill Fire Department,Cherry Hill,1100 Marlkress Rd,NJ,8003,"1100 Marlkress Rd Cherry Hill, NJ 08003",1430011,39.904859,-74.976892,A,Thursday,7,7,1,1.285714286,1094.46,7661.22,374.47,2621.29,139,0.342150467
Nick Misciagno (0000143017),243402,Episcopal Academy,243402,Episcopal Academy,Newtown Square,1785 Bishop White Dr,PA,19073,"1785 Bishop White Dr Newtown Square, PA 19073",1430002,40.00492,-75.428946,C,Friday,16,29,1.8125,4.5625,1630.578125,26089.25,585.195,9363.12,497,0.358888048
Chuck Lutes (0000143024),243426,Faith Baptist Church-Fairless,243426,Faith Baptist Church-Fairless,Fairless Hills,1515 Wistar Rd,PA,19030,"1515 Wistar Rd Fairless Hills, PA 19030",1430003,40.166206,-74.868208,A,Tuesday,13,17,1.307692308,5.076923077,426.4653846,5544.05,172.3046154,2239.96,105,0.404029545
Leianne Krotec (0000143021),243460,Cliff Fitzgerald,243460,Cliff Fitzgerald,North Wales,601 Ellison Dr,PA,19454,"601 Ellison Dr North Wales, PA 19454",1430015,40.216115,-75.2195,E,Tuesday/Friday,24,26,1.083333333,1.75,1178.420417,28282.09,393.8533333,9452.48,288,0.33422141
Leianne Krotec (0000143021),243526,Gloria Dei Church,243526,Gloria Dei Church,Huntingdon Valley,570 Welsh Rd,PA,19006,"570 Welsh Rd Huntingdon Valley, PA 19006",1430004,40.11425,-75.070021,A,Friday,8,9,1.125,3.875,542.1475,4337.18,192.955,1543.64,88,0.355908678
